Participant,Attendance time,Camera time,Mic time,Time speaking,Time presenting,Hands raised,Emojis sent,Messages sent
86542b003e830186a9f5a8ce2f147bfecf7ba00c73e89747924abb431c4807ef,00:11:01,01:44:37,00:01:44,00:01:42,00:00:00,1,16,3
92a66ccdd2dc048646b940702877736fa5941c6eafee717b3ff480cabb9ab3f4,00:07:09,02:39:41,00:03:18,00:02:41,00:00:00,3,40,10
dba68f39815752c5ce8ed9ed8740d520ad5b1fd9640f8d95c377170d0fef76e8,00:06:58,02:32:51,00:19:18,00:09:04,00:00:00,6,65,26
04b90521e23b6a5589c7f55c86a71a3fe223dd4631ea51fac7d42ec3ffb561f6,00:21:16,02:51:10,03:01:48,02:10:49,01:54:19,0,2,4
2d737c12904c8a1890cfb106c74c02684317184d8dff3fbe83324bc1d21d438d,00:14:33,02:58:28,00:03:25,00:00:51,00:00:00,1,3,3
cbb84bc2fe8d064e85a7b92507d3e1087847c3320c007173f98e6a3fed9bc570,00:00:00,02:26:32,00:19:25,00:04:44,00:01:27,6,55,31
9e5ef9fc98988ed88abae4dcc91ea7b05672e5ea261b5ba9f25fce1a110dfcd1,00:10:46,01:47:29,00:26:01,00:06:23,00:00:00,2,35,32
71ebcb21b682814489a1c1ca431691e9c0c38a28ebeecec2eec5e6e3d75b554b,00:21:08,02:16:10,00:21:01,00:00:32,00:00:00,0,99,6
6b1335aa7b237370369cd619a67b4695844f97bc1f42bec8b7771615fe6d4d74,00:21:08,00:00:21,00:00:00,00:00:00,00:00:00,0,37,7
4b11afc7fc6458effe203e924722e2863e66f4fe0b1ba20b41d68e3328415800,00:10:59,02:14:51,00:03:54,00:01:06,00:00:00,3,5,1
6d26619b6b29eaeba89901c3aac888cec5093965f5fcaf3420d9f0038024c29f,00:00:00,02:35:11,00:01:01,00:00:17,00:00:00,0,98,6
ca37c192f9f7539369cd549189760345543f168d828f33f85f4799745a41e45a,00:10:24,02:53:17,00:01:11,00:01:04,00:00:00,3,80,7
edab98fbc0a76faf6231492eccd3cac4779cdce812248f4147136a9d51c281b6,00:05:23,00:49:01,00:22:12,00:05:39,00:00:00,3,43,73
365bea1e0e58d1dd2124f6156f41cf26bde7babc74cbeaf8936f7fecc65ae654,00:11:18,02:53:46,00:00:00,00:00:00,00:00:00,0,10,1
daed0aa5ffdee628ae24991b2c984f66ac26a172f830bb0b12ed5d9dacb0d2a2,00:16:02,02:47:52,00:09:19,00:05:10,00:00:00,3,63,26
47a7c412c0ede005f50d7fcf7c9207e69e53f2045d81c793edad4b893693202a,00:15:21,02:32:25,00:01:10,00:01:09,00:00:00,1,23,9
8e59bee15978f8c0a1d9a9d82802b2be19083c373454fd44681f83c5524c2b35,00:00:00,01:51:16,00:00:31,00:00:29,00:00:00,4,43,11
ad6acd323806e30ca6a37ad2cb78f28493addc17339ef246b2934e18a7765b07,00:06:18,02:31:11,00:02:26,00:01:43,00:00:00,1,53,13
ba3138325b35c4d45f2a9ece725128f7b9f88df5c4828e0635447b84c5d51e7b,00:21:08,03:02:16,00:17:13,00:08:57,00:00:00,4,202,19
d59df35ac8cca9741c7d14751827a93372178571f12e725a4d11d3452463a502,00:07:06,02:30:28,00:00:28,00:00:26,00:00:00,1,9,1
a73035ba29e279c7dd54a959055e0ddafacb294addf8dfe8fdf5ac0118550f6d,00:07:40,01:35:36,00:01:47,00:01:41,00:00:00,3,35,27
5c42c56b65dbc3ef6676cd3cb68accb47c45ee9b25ce5480bd255422d673da0f,00:14:20,00:58:17,00:00:00,00:00:00,00:00:00,0,0,2
f5e39c38b5d7ae57a67a4e533d1c3fbadcbddae039868a0c222dd0be50cf8560,00:00:00,00:48:38,00:02:45,00:02:40,00:00:00,3,1,3
2b2a60f6e5485123c6c8aa012d76f76187489ddd5d003a82d627986f4c928125,00:21:08,02:52:57,00:17:58,00:08:08,00:00:00,6,98,45
939065eece719c2e24382f347e0395ab9aa3f4933249c3b2ad1a1fa7027a91be,00:07:34,02:50:59,00:11:59,00:03:36,00:09:19,1,45,4
3c24c973491a4900c95f36a53c7e70a52c48a08e706edab9eaa8ab7911af7b39,00:09:21,02:52:07,00:03:11,00:01:37,00:00:00,1,4,1
